Date,1960,1970,1980,1990,2000,2010,Sum
1972,0.0331175,0,0,0,0,0,0.0331175
1973,0.0322174,0,0,0,0,0,0.0322174
1974,0.0347099,0,0,0,0,0,0.0347099
1975,0.189482,0,0,0,0,0,0.189482
1976,0.27887,0,0,0,0,0,0.27887
1977,0.273828,0.012971,0,0,0,0,0.286799
1978,0.268659,0.0871044,0,0,0,0,0.355764
1979,0.228572,0.158787,0,0,0,0,0.387359
1980,0.197013,0.287992,0,0,0,0,0.485006
1981,0.16076,0.312878,0,0,0,0,0.473638
1982,0.145613,0.346013,0,0,0,0,0.491626
1983,0.144629,0.469647,0,0,0,0,0.614276
1984,0.130789,0.575429,0,0,0,0,0.706218
1985,0.110069,0.661239,0,0,0,0,0.771307
1986,0.0831088,0.75736,0,0,0,0,0.840468
1987,0.0702783,0.911293,0,0,0,0,0.981571
1988,0.0938877,1.01843,0,0,0,0,1.11232
1989,0.115613,1.36613,0,0,0,0,1.48174
1990,0.130151,1.42334,0.0757447,0,0,0,1.62924
1991,0.151316,1.60176,0.116869,0,0,0,1.86994
1992,0.155446,1.84388,0.131694,0,0,0,2.13102
1993,0.151862,1.95543,0.16475,0,0,0,2.27205
1994,0.17487,1.99339,0.352607,0,0,0,2.52087
1995,0.221861,1.98911,0.490733,0,0,0,2.7017
1996,0.231793,2.04914,0.733841,0.00136111,0,0,3.01613
1997,0.246508,1.98591,0.791931,0.0071563,0,0,3.0315
1998,0.250774,1.73832,0.810013,0.108838,0,0,2.90794
1999,0.261167,1.54364,0.944214,0.157994,0,0,2.90701
2000,0.355515,1.44155,1.00341,0.313269,0,0,3.11374
2001,0.352457,1.37813,1.04067,0.345909,0,0,3.11716
2002,0.356187,1.35373,0.991328,0.291231,0,0,2.99248
2003,0.363995,1.3332,0.864089,0.290332,0,0,2.85162
2004,0.387833,1.23689,0.79704,0.375705,0,0,2.79747
2005,0.392955,1.05664,0.70211,0.392652,0.00846462,0,2.55283
2006,0.381579,0.864344,0.613752,0.43821,0.0557427,0,2.35363
2007,0.324095,0.78723,0.60433,0.442907,0.0520052,0,2.21057
2008,0.285253,0.722718,0.548488,0.489359,0.0622218,0,2.10804
2009,0.250917,0.621874,0.503544,0.532078,0.0722967,0,1.98071
2010,0.208757,0.566055,0.478934,0.470448,0.0747161,0,1.79891
2011,0.184077,0.501876,0.487151,0.422309,0.0850236,0,1.68044
2012,0.162101,0.445307,0.46288,0.376377,0.0856079,0.000660106,1.53293
2013,0.143348,0.460665,0.408684,0.356657,0.0931508,0.00124128,1.46375
2014,0.159829,0.495324,0.413214,0.347122,0.0959382,0.000601772,1.51203
2015,0.155659,0.544067,0.400934,0.338683,0.127787,0.000465115,1.5676
2016,0.153666,0.551978,0.381619,0.300884,0.202876,0.000281675,1.59131
